Species,Rank,Factor Score,Rebuilding Target Year,Management Group
Arrowtooth flounder,1,0,NA,species specific
Aurora rockfish,1,0,NA,minor slope rockfish
Bank rockfish,1,0,NA,minor slope rockfish
Big skate,1,0,NA,species specific
Black rockfish,1,0,NA,species specific
Blackgill rockfish,1,0,NA,minor slope rockfish
Blue/Deacon rockfish,1,0,NA,minor nearshore rockfish
Bocaccio,1,0,NA,species specific
Cabezon,1,0,NA,other groundfish
California scorpionfish,1,0,NA,species specific
Canary rockfish,1,0,NA,species specific
Chilipepper,1,0,NA,species specific
China rockfish,1,0,NA,minor nearshore rockfish
Copper rockfish,1,0,NA,minor nearshore rockfish
Cowcod,1,0,NA,minor shelf rockfish
Darkblotched rockfish,1,0,NA,species specific
Dover sole,1,0,NA,species specific
English sole,1,0,NA,species specific
Flathead sole,1,0,NA,other flatfish
Greenspotted rockfish,1,0,NA,minor shelf rockfish
Greenstriped rockfish,1,0,NA,minor shelf rockfish
Kelp greenling,1,0,NA,other groundfish
Lingcod,1,0,NA,species specific
Longnose skate,1,0,NA,species specific
Longspine thornyhead,1,0,NA,species specific
Pacific cod,1,0,NA,species specific
Pacific ocean perch,1,0,NA,species specific
Pacific sanddab,1,0,NA,other flatfish
Pacific spiny dogfish,1,0,NA,species specific
Petrale sole,1,0,NA,species specific
Quillback rockfish,1,0,NA,minor nearshore rockfish
Redbanded rockfish,1,0,NA,minor slope rockfish
Redstripe rockfish,1,0,NA,minor shelf rockfish
Rex sole,1,0,NA,other flatfish
Rosethorn rockfish,1,0,NA,minor shelf rockfish
Rougheye/Blackspotted rockfish,1,0,NA,minor slope rockfish
Sablefish,1,0,NA,species specific
Sharpchin rockfish,1,0,NA,minor slope rockfish
Shortraker rockfish,1,0,NA,minor slope rockfish
Shortspine thornyhead,1,0,NA,species specific
Silvergray rockfish,1,0,NA,minor shelf rockfish
Splitnose rockfish,1,0,NA,minor slope rockfish
Squarespot rockfish,1,0,NA,minor shelf rockfish
Starry rockfish,1,0,NA,minor shelf rockfish
Stripetail rockfish,1,0,NA,minor shelf rockfish
Vermilion/Sunset rockfish,1,0,NA,minor shelf rockfish
Widow rockfish,1,0,NA,species specific
Yelloweye rockfish,1,0,NA,species specific
Yellowmouth rockfish,1,0,NA,minor slope rockfish
Yellowtail rockfish,1,0,NA,species specific
