"Species","Rank","Factor_Score","Rebuilding_Target_Year"
"arrowtooth flounder",3,0,NA
"aurora rockfish",3,0,NA
"bank rockfish",3,0,NA
"big skate",3,0,NA
"black rockfish",3,0,NA
"blackgill rockfish",3,0,NA
"blue and deacon rockfish",3,0,NA
"bocaccio",3,0,NA
"brown rockfish",3,0,NA
"cabezon",3,0,NA
"California scorpionfish",3,0,NA
"canary rockfish",3,0,NA
"chilipepper",3,0,NA
"China rockfish",3,0,NA
"copper rockfish",3,0,NA
"cowcod",3,0,NA
"curlfin sole",3,0,NA
"darkblotched rockfish",3,0,NA
"Dover sole",3,0,NA
"English sole",3,0,NA
"flag rockfish",3,0,NA
"flathead sole",3,0,NA
"gopher and black and yellow rockfish",3,0,NA
"grass rockfish",3,0,NA
"greenspotted rockfish",3,0,NA
"greenstriped rockfish",3,0,NA
"honeycomb rockfish",3,0,NA
"kelp greenling",3,0,NA
"kelp rockfish",3,0,NA
"leopard shark",3,0,NA
"lingcod",3,0,NA
"longnose skate",3,0,NA
"longspine thornyhead",3,0,NA
"olive rockfish",3,0,NA
"Pacific cod",3,0,NA
"Pacific ocean perch",3,0,NA
"Pacific sanddab",3,0,NA
"Pacific spiny dogfish",3,0,NA
"petrale sole",3,0,NA
"quillback rockfish",1,10,2060
"redbanded rockfish",3,0,NA
"redstripe rockfish",3,0,NA
"rex sole",3,0,NA
"rock sole",3,0,NA
"rosethorn rockfish",3,0,NA
"rosy rockfish",3,0,NA
"rougheye and black spotted rockfish",3,0,NA
"sablefish",3,0,NA
"sand sole",3,0,NA
"sharpchin rockfish",3,0,NA
"shortraker rockfish",3,0,NA
"shortspine thornyhead",3,0,NA
"silvergray rockfish",3,0,NA
"speckled rockfish",3,0,NA
"splitnose rockfish",3,0,NA
"squarespot rockfish",3,0,NA
"starry flounder",3,0,NA
"starry rockfish",3,0,NA
"stripetail rockfish",3,0,NA
"treefish",3,0,NA
"vermilion and sunset rockfish",3,0,NA
"widow rockfish",3,0,NA
"yelloweye rockfish",2,9,2029
"yellowmouth rockfish",3,0,NA
"yellowtail rockfish",3,0,NA
