"Species","Overall_Rank","Total_Score","fishing_mortality","commercial_importance","tribal_importance","recreational_importance","ecosystem","stock_status","assessment_frequency","constituent_demand","new_information","rebuilding"
"arrowtooth flounder",50,2.27,1,5.16,3.1,0,5.72,1,1.8,1,3,0
"aurora rockfish",40,2.56,3,3.8,2.77,0,0.01,2,4.5,1,6,0
"bank rockfish",35,2.75,1,4.71,2.41,0.76,0.03,6,3.6,1,5,0
"big skate",45,2.44,2,5.53,6.6,0,0.69,2,2.7,1,0,0
"black rockfish",22,3.26,5,5.53,3.79,7.79,0.94,4,0,4,0,0
"blackgill rockfish",59,2,3,5.71,2.8,0,0.01,4,0,0,2,0
"blue and deacon rockfish",29,2.96,3,5.69,1.11,9.19,0.05,4,1.8,0,0,0
"bocaccio",9,3.73,2,6.77,4.96,7.82,0.98,3,3.6,1,3,0
"brown rockfish",2,4.37,5,6.33,1.39,7.35,0.02,4,8.2,1,0,0
"cabezon",31,2.84,2,6.98,1.11,6.46,0.26,3,1.8,0,0,0
"California scorpionfish",33,2.82,3,4.07,0,7.84,0.39,3,3.6,1,0,0
"canary rockfish",22,3.26,3,5.01,6.5,5.87,0.08,5,0.9,5,0,0
"chilipepper",6,4.03,3,7.08,1.03,3.98,1.18,2,8.2,0,4,0
"China rockfish",18,3.39,5,5.67,1.11,5.2,0.02,3,4.5,2,0,0
"copper rockfish",48,2.33,3,4.13,1.11,5.69,0.03,4,0,3,0,0
"cowcod",65,1.21,1,1.46,0,3.5,0.01,3,0.9,1,0,0
"curlfin sole",61,1.87,3,1.84,0,0,0,3,3.6,1,5,0
"darkblotched rockfish",51,2.23,3,6.02,5.01,0,0.05,4,0,0,3,0
"Dover sole",34,2.78,1,8.85,7.1,0.01,1.88,1,0.9,0,3,0
"English sole",9,3.73,1,5.05,6.76,0.04,0.22,1,10,1,5,0
"flag rockfish",56,2.11,3,1.82,0,4.54,0.01,4,3.6,1,0,0
"flathead sole",44,2.46,5,2.82,0,0,0,3,3.6,3,5,0
"gopher and black and yellow rockfish",18,3.39,5,7.07,0,6.46,0.07,4,2.7,1,0,0
"grass rockfish",37,2.68,2,6.14,0,2.87,0.01,4,3.6,0,0,0
"greenspotted rockfish",16,3.49,2,4.37,1.5,5.23,0.01,5,6.4,1,4,0
"greenstriped rockfish",13,3.61,1,3.09,4.02,2.35,0.09,1,10,3,5,0
"honeycomb rockfish",63,1.7,3,0.9,0,3.35,0,4,3.6,0,0,0
"kelp greenling",14,3.56,1,6.04,1.11,5.45,0.05,1,8.2,1,0,0
"kelp rockfish",53,2.19,2,3.37,0,3.6,0,3,3.6,1,0,0
"leopard shark",55,2.12,2,3.32,0,0,0.46,6,3.6,1,0,0
"lingcod",11,3.71,2,8.09,8.01,10,3.09,3,0,1,1,0
"longnose skate",30,2.88,3,6.63,6.55,0.15,1.64,3,2.7,0,2,0
"longspine thornyhead",21,3.28,1,6.07,4.74,0,0.27,2,6.4,1,5,0
"olive rockfish",39,2.58,2,3.67,0,6.32,0.03,4,3.6,1,0,0
"Pacific cod",43,2.51,1,3.41,8.58,2.46,0.39,3,3.6,1,1,0
"Pacific ocean perch",59,2,2,6.24,5.31,0,0.12,2,0,0,2,0
"Pacific sanddab",26,3.15,1,5.46,0.83,5.16,0.1,3,3.6,2,6,0
"Pacific spiny dogfish",53,2.19,3,2.58,1.06,2.29,10,4,0,3,0,0
"petrale sole",15,3.51,7,7.39,8.02,1.36,0.73,3,0.9,4,0,0
"quillback rockfish",1,4.64,10,4.95,3.37,5.78,0,7,0,5,0,10
