"Species","Rank","Factor_Score","Average_Catches","Average_OFL","Average_OFL_Attainment","Average_ACL","Average_ACL_Attainment"
"arrowtooth flounder",52,1,884.9,15163,5.8,12091.6,7.3
"aurora rockfish",18,3,33.5,92,36.5,85.9,39
"bank rockfish",52,1,34.8,520.4,6.7,422.4,8.2
"big skate",35,2,180.1,983.7,18.3,869.6,20.7
"black rockfish",10,5,831.1,1238.4,67.1,1145.6,72.5
"blackgill rockfish",18,3,49.4,185.7,26.6,162.1,30.5
"blue and deacon rockfish",18,3,199.5,446.6,44.7,391.8,50.9
"bocaccio",35,2,519.2,2297.6,22.6,1894.7,27.4
"brown rockfish",10,5,106.3,180.5,58.9,158.2,67.2
"cabezon",35,2,99.9,516.8,19.3,400.3,25
"California scorpionfish",18,3,111.4,313.5,35.5,267.2,41.7
"canary rockfish",18,3,591.5,1487,39.8,1397.8,42.3
"chilipepper",18,3,712.7,2761.6,25.8,2595.7,27.5
"China rockfish",10,5,27.5,44.8,61.3,38,72.3
"copper rockfish",18,3,140.4,303.2,46.3,267.5,52.5
"cowcod",52,1,6.1,90.1,6.7,39.6,15.3
"curlfin sole",18,3,2.9,8.2,35.1,5.4,53.4
"darkblotched rockfish",18,3,357.4,838,42.6,789.2,45.3
"Dover sole",52,1,5182.7,90903.9,5.7,50000,10.4
"English sole",52,1,236.7,10528.4,2.2,9207.6,2.6
"flag rockfish",18,3,7.3,23.5,30.9,19.1,38
"flathead sole",10,5,18.5,35,52.9,23,80.4
"gopher and black and yellow rockfish",10,5,99.1,155.7,63.7,131.8,75.2
"grass rockfish",35,2,11.9,60.3,19.8,48.9,24.3
"greenspotted rockfish",35,2,21.6,93.6,23,80,27
"greenstriped rockfish",52,1,46.1,1340.9,3.4,1174.5,3.9
"honeycomb rockfish",18,3,2.9,9.9,29.6,8,36.5
"kelp greenling",52,1,43.7,485.8,9,436.5,10
"kelp rockfish",35,2,4.8,27.7,17.5,22.5,21.5
"leopard shark",35,2,27.8,167.1,16.6,135.6,20.5
"lingcod",35,2,1271.6,6096.2,20.9,5635,22.6
"longnose skate",18,3,658.8,2324.2,28.3,1916.8,34.4
"longspine thornyhead",52,1,207.7,4457.3,4.7,3396.2,6.1
"olive rockfish",35,2,45.8,225,20.3,182.6,25.1
"Pacific cod",52,1,43.1,3200,1.3,1600,2.7
"Pacific ocean perch",35,2,441.4,3847.5,11.5,3283,13.4
"Pacific sanddab",52,1,118.6,4801,2.5,3155.2,3.8
"Pacific spiny dogfish",18,3,977.1,2481.1,39.4,1883.8,51.9
"petrale sole",6,7,2735.2,3501.4,78.1,3308.2,82.7
"quillback rockfish",1,10,26.3,12.8,205.9,10.4,253.7
"redbanded rockfish",6,7,44.5,55.7,80,45.2,98.5
"redstripe rockfish",35,2,43.5,270.4,16.1,219.5,19.8
"rex sole",35,2,437.4,2744,15.9,2153.4,20.3
"rock sole",52,1,3.3,66.7,5,43.8,7.6
"rosethorn rockfish",5,8,14.8,15,98.8,12.2,121.7
"rosy rockfish",35,2,10.8,47.5,22.8,38.6,28.1
"rougheye and black spotted rockfish",10,5,157.1,228,68.9,199.5,78.7
"sablefish",10,5,5374,8774.6,61.2,7987.2,67.3
"sand sole",52,1,22.2,773.2,2.9,508.1,4.4
"sharpchin rockfish",35,2,41.1,410.1,10,361.2,11.4
"shortraker rockfish",18,3,9.1,18.8,48.2,15.3,59.3
"shortspine thornyhead",35,2,664.2,3134.6,21.2,2407,27.6
"silvergray rockfish",18,3,57.5,159.9,35.9,129.8,44.3
"speckled rockfish",35,2,7,39.6,17.7,32.1,21.8
"splitnose rockfish",52,1,221.6,2862.6,7.7,2659.8,8.3
"squarespot rockfish",1,10,13.9,11.3,122.8,9.2,151.3
"starry flounder",52,1,10.3,890.7,1.2,594,1.7
"starry rockfish",10,5,37.4,62.6,59.7,50.8,73.6
"stripetail rockfish",4,9,67.2,64,105.1,52,129.4
"treefish",6,7,10.3,13.4,76.7,10.9,94.5
"vermilion and sunset rockfish",1,10,357.9,279,128.3,226.4,158
"widow rockfish",6,7,10314.8,13580.2,76,12839.6,80.3
"yelloweye rockfish",18,3,24,83.8,28.7,43.6,55.1
"yellowmouth rockfish",35,2,26.1,193.3,13.5,156.8,16.6
"yellowtail rockfish",18,3,3477,7516.5,46.3,6893.5,50.4
