"Species","Rank","Factor_Score","Assessed_Last_Cycle","Pseudo_Revenue_Coastwide","Pseudo_Revenue_CA","Pseudo_Revenue_OR","Pseudo_Revenue_WA","Species_Importance_CA","Species_Importance_OR","Species_Importance_WA","Catch_Coastwide","Catch_CA","Catch_OR","Catch_WA"
"arrowtooth flounder",43,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0
"aurora rockfish",43,0,0,0,0,0,0,0,0,0,0,0,0,0
"bank rockfish",38,0.76,0,0.9,0.9,0,0,0.9,0,0,1,1,0,0
"big skate",43,0,0,0,0,0,0,0.5,0,0,0.4,0,0.4,0
"black rockfish",7,7.79,-2,6710.1,1380.4,3389.9,1939.7,2,2,2,3355,690.2,1695,969.9
"blackgill rockfish",43,0,0,0,0,0,0,0,0,0,0,0,0,0
"blue and deacon rockfish",2,9.19,0,3104.3,2722.3,362.9,19,1.82,1.9,1.8,1697.4,1495.8,191,10.6
"bocaccio",6,7.82,0,935.3,910.4,2,22.9,1.86,0.6,1.3,510.4,489.5,3.4,17.6
"brown rockfish",8,7.35,0,619.7,619.3,0.4,0,1.45,0.5,0,428,427.1,0.8,0
"cabezon",10,6.46,0,283.8,147.5,110.9,25.4,1.14,1.5,0.75,237.2,129.4,73.9,33.8
"California scorpionfish",5,7.84,0,947.6,947.6,0,0,1.75,0,0,541.5,541.5,0,0
"canary rockfish",13,5.87,-2,1251.4,592.2,452.9,206.3,1.9,1.9,2,653.2,311.7,238.4,103.2
"chilipepper",24,3.98,0,31.6,31.6,0,0,1.86,0,0,17.2,17,0.2,0
"China rockfish",21,5.2,0,93.4,71.3,14.5,7.7,1.06,1.2,1,87,67.3,12,7.7
"copper rockfish",15,5.69,-2,1074.5,1015.3,48.4,10.8,1.78,1.5,1,613.5,570.4,32.3,10.8
"cowcod",28,3.5,0,20.4,20.4,0,0,1.5,0,0,13.6,13.6,0,0
"curlfin sole",43,0,0,0,0,0,0,0,0,0,0,0,0,0
"darkblotched rockfish",43,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dover sole",42,0.01,0,0,0,0,0,0.5,0.3,0.25,0,0,0,0
"English sole",41,0.04,0,0,0,0,0,0.5,0.3,0.25,0.1,0,0.1,0
"flag rockfish",23,4.54,0,51.9,51.9,0,0,1.48,0,0,35.1,35,0,0
"flathead sole",43,0,0,0,0,0,0,0,0,0.25,0,0,0,0
"gopher and black and yellow rockfish",9,6.46,0,284.3,284.3,0,0,1.13,0,0,251.8,251.6,0.2,0
"grass rockfish",30,2.87,0,11.3,11.3,0,0,0.91,0,0,12.7,12.5,0.3,0
"greenspotted rockfish",20,5.23,0,95.9,95.9,0,0,1.37,0,0,71.2,70,1.2,0
"greenstriped rockfish",33,2.35,0,6.8,6.8,0,0,1,0,0,7.5,6.8,0.6,0
"honeycomb rockfish",29,3.35,0,17.7,17.7,0,0,1.25,0,0,14.2,14.2,0,0
"kelp greenling",17,5.45,0,116.2,24.1,87.4,4.7,1.19,0.8,0.75,135.8,20.3,109.2,6.3
"kelp rockfish",27,3.6,0,22.3,22.3,0,0,1.14,0,0,19.7,19.6,0.1,0
"leopard shark",43,0,0,0,0,0,0,0,0,0,107,107,0,0
"lingcod",1,10,0,6294.4,2977.8,1778.9,1537.7,2,2,2,3147.2,1488.9,889.5,768.9
"longnose skate",40,0.15,0,0.1,0,0.1,0,0,0.2,0,0.7,0,0.7,0
"longspine thornyhead",43,0,0,0,0,0,0,0,0,0,0,0,0,0
"olive rockfish",11,6.32,0,251,251,0,0,1.16,0,0,216.4,216.4,0,0
"Pacific cod",32,2.46,0,7.6,0,0,7.6,0,0,1.3,6.2,0,0.4,5.8
"Pacific ocean perch",43,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pacific sanddab",22,5.16,0,90.4,89.8,0.6,0,0.82,0.5,0.75,110.8,109.5,1.3,0
"Pacific spiny dogfish",34,2.29,0,6.4,6.4,0,0,0.3,0,0,21.7,21.5,0.2,0
"petrale sole",36,1.36,-2,23.4,12.4,11,0,0.62,0.7,0.75,35.7,19.9,15.7,0
"quillback rockfish",14,5.78,0,156.3,98.3,48.1,9.9,2,1.5,1,91.1,49.2,32,9.9
"redbanded rockfish",43,0,0,0,0,0,0,0.8,0,0,0,0,0,0
"redstripe rockfish",43,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0
"rex sole",43,0,-2,0,0,0,0,0.5,0,0.25,0,0,0,0
"rock sole",35,2.03,0,4.9,4.9,0,0,0.65,0,0.75,7.6,7.6,0.1,0
"rosethorn rockfish",43,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0
"rosy rockfish",43,0,0,0,0,0,0,0,0,0,50.1,49.9,0.2,0
"rougheye and black spotted rockfish",43,0,0,0,0,0,0,0,0,0,0,0,0,0
"sablefish",31,2.59,0,8.6,0.9,7.7,0,0.5,0.7,1.75,12.8,1.7,11.1,0
"sand sole",39,0.74,0,0.9,0.4,0.5,0,0.65,0.7,0.25,1.3,0.5,0.8,0
"sharpchin rockfish",43,0,0,0,0,0,0,0,0,0,0,0,0,0
"shortraker rockfish",43,0,0,0,0,0,0,0,0,0,0,0,0,0
"shortspine thornyhead",43,0,-2,0,0,0,0,0,0,0,0,0,0,0
"silvergray rockfish",43,0,0,0,0,0,0,0,0,0,1.6,0,1.6,0
"speckled rockfish",25,3.83,0,27.4,27.4,0,0,1,0,0,27.4,27.4,0,0
"splitnose rockfish",43,0,0,0,0,0,0,0,0,0,0,0,0,0
"squarespot rockfish",16,5.5,0,122.3,122.3,0,0,1.8,0,0,68,68,0,0
"starry flounder",37,1.12,0,1.7,1.6,0.1,0,0.65,0.5,0.75,2.6,2.5,0.1,0
"starry rockfish",12,6.02,0,193.4,193.4,0,0,1.1,0,0,175.9,175.9,0,0
"stripetail rockfish",43,0,0,0,0,0,0,0,0,0,0,0,0,0
"treefish",26,3.82,0,27.4,27.4,0,0,0.7,0,0,39.1,39.1,0,0
"vermilion and sunset rockfish",3,9,0,2612.5,2560.9,45,6.6,1.9,1.15,1,1393.6,1347.8,39.2,6.6
"widow rockfish",19,5.29,0,101.4,75.2,26.2,0,1.3,1,1.5,84,57.9,26.2,0
"yelloweye rockfish",18,5.4,0,111.3,39.6,42.5,29.2,1.9,1.8,2,59,20.9,23.6,14.6
"yellowmouth rockfish",43,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0
"yellowtail rockfish",4,8.14,0,1232,402.8,276.1,553.1,1.15,1.5,2,810.9,350.3,184.1,276.5
