"Species","Rank","Factor_Score","Top_Down_Scaled","Bottom_Up_Scaled"
"arrowtooth flounder",3,5.72,4.04,0.17
"aurora rockfish",46,0.01,0,0
"bank rockfish",34,0.03,0,0.02
"big skate",13,0.69,0.46,0.05
"black rockfish",11,0.94,0.64,0.06
"blackgill rockfish",47,0.01,0,0.01
"blue rockfish",31,0.05,0.03,0.01
"bocaccio",10,0.98,0.64,0.08
"brown rockfish",41,0.02,0.01,0
"cabezon",19,0.26,0.18,0.01
"California scorpionfish",16,0.39,0.16,0.12
"canary rockfish",27,0.08,0.02,0.04
"chilipepper",9,1.18,0.77,0.1
"China rockfish",42,0.02,0.01,0
"copper rockfish",35,0.03,0.02,0.01
"cowcod",48,0.01,0.01,0
"curlfin sole",56,0,0,0
"darkblotched rockfish",32,0.05,0,0.03
"Dover sole",7,1.88,0.06,1.32
"English sole",20,0.22,0.01,0.15
"flag rockfish",49,0.01,0.01,0
"flathead sole",57,0,0,0
"gopher rockfish",28,0.07,0.04,0.01
"grass rockfish",50,0.01,0,0
"greenspotted rockfish",51,0.01,0.01,0
"greenstriped rockfish",26,0.09,0.02,0.05
"honeycomb rockfish",58,0,0,0
"kelp greenling",33,0.05,0.03,0.01
"kelp rockfish",59,0,0,0
"leopard shark",15,0.46,0.32,0.01
"lingcod",4,3.09,2.13,0.14
"longnose skate",8,1.64,1.1,0.11
"longspine thornyhead",18,0.27,0.02,0.18
"olive rockfish",36,0.03,0.01,0
"Pacific cod",17,0.39,0.16,0.12
"Pacific ocean perch",22,0.12,0.02,0.07
"Pacific sanddab",25,0.1,0,0.07
"Pacific spiny dogfish",1,10,7.02,0.32
"petrale sole",12,0.73,0.5,0.04
"quillback rockfish",60,0,0,0
"redbanded rockfish",61,0,0,0
"redstripe rockfish",37,0.03,0.02,0.01
"rex sole",30,0.06,0,0.04
"rock sole",62,0,0,0
"rosethorn rockfish",52,0.01,0,0
"rosy rockfish",53,0.01,0,0
"rougheye rockfish",54,0.01,0,0.01
"sablefish",2,9.59,6.67,0.38
"sand sole",43,0.02,0,0.01
"sharpchin rockfish",38,0.03,0,0.02
"shortraker rockfish",63,0,0,0
"shortspine thornyhead",5,2.01,1.02,0.46
"silvergray rockfish",29,0.07,0.04,0.01
"speckled rockfish",44,0.02,0.01,0
"splitnose rockfish",21,0.21,0.01,0.15
"squarespot rockfish",64,0,0,0
"starry flounder",45,0.02,0,0.01
"starry rockfish",39,0.03,0.02,0
"stripetail rockfish",40,0.03,0.02,0
"treefish",65,0,0,0
"vermilion rockfish",23,0.12,0.08,0.01
"widow rockfish",14,0.6,0.24,0.2
"yelloweye rockfish",24,0.12,0.08,0
"yellowmouth rockfish",55,0.01,0,0.01
"yellowtail rockfish",6,1.99,1.2,0.26
