"Species","Rank","Factor_Score","Last_Assessed","New_Research","Issues_Can_be_Addressed","Survey_Abundance","Survey_Composition"
"arrowtooth flounder",17,3,2017,0,0,1,2
"aurora rockfish",2,6,2013,1,0,2,3
"bank rockfish",7,5,NA,1,0,3,1
"big skate",34,0,2019,0,0,0,0
"black rockfish",34,0,2023,0,0,0,0
"blackgill rockfish",23,2,2017,0,0,1,1
"blue and deacon rockfish",34,0,2017,0,0,0,0
"bocaccio",17,3,2017,0,0,1,2
"brown rockfish",34,0,2013,0,0,0,0
"cabezon",34,0,2019,0,0,0,0
"California scorpionfish",34,0,2017,0,0,0,0
"canary rockfish",34,0,2023,0,0,0,0
"chilipepper",14,4,2015,1,0,1,2
"China rockfish",34,0,2015,0,0,0,0
"copper rockfish",34,0,2023,0,0,0,0
"cowcod",34,0,2019,0,0,0,0
"curlfin sole",7,5,NA,0,0,3,2
"darkblotched rockfish",17,3,2017,0,0,1,2
"Dover sole",17,3,2021,1,0,0,2
"English sole",7,5,2013,0,0,2,3
"flag rockfish",34,0,NA,0,0,0,0
"flathead sole",7,5,NA,0,0,3,2
"gopher and black and yellow rockfish",34,0,2019,0,0,0,0
"grass rockfish",34,0,NA,0,0,0,0
"greenspotted rockfish",14,4,2011,0,0,2,2
"greenstriped rockfish",7,5,2009,0,0,2,3
"honeycomb rockfish",34,0,NA,0,0,0,0
"kelp greenling",34,0,2015,0,0,0,0
"kelp rockfish",34,0,NA,0,0,0,0
"leopard shark",34,0,NA,0,0,0,0
"lingcod",30,1,2021,0,0,0,1
"longnose skate",23,2,2019,0,0,0,2
"longspine thornyhead",7,5,2013,0,0,2,3
"olive rockfish",34,0,NA,0,0,0,0
"Pacific cod",30,1,NA,0,0,0,1
"Pacific ocean perch",23,2,2017,0,0,1,1
"Pacific sanddab",2,6,NA,0,0,3,3
"Pacific spiny dogfish",34,0,2021,0,0,0,0
"petrale sole",34,0,2023,0,0,0,0
"quillback rockfish",34,0,2021,0,0,0,0
"redbanded rockfish",7,5,NA,1,0,3,1
"redstripe rockfish",23,2,NA,0,0,0,2
"rex sole",34,0,2023,0,0,0,0
"rock sole",34,0,NA,0,0,0,0
"rosethorn rockfish",2,6,NA,0,0,3,3
"rosy rockfish",34,0,NA,0,0,0,0
"rougheye and black spotted rockfish",23,2,2013,2,0,0,0
"sablefish",23,2,2023,1,0,0,1
"sand sole",34,0,NA,0,0,0,0
"sharpchin rockfish",2,6,2013,0,0,3,3
"shortraker rockfish",34,0,NA,0,0,0,0
"shortspine thornyhead",30,1,2023,0,0,0,1
"silvergray rockfish",34,0,NA,0,0,0,0
"speckled rockfish",17,3,NA,0,0,2,1
"splitnose rockfish",1,7,2009,2,0,2,3
"squarespot rockfish",34,0,2021,0,0,0,0
"starry flounder",34,0,NA,0,0,0,0
"starry rockfish",14,4,NA,0,0,3,1
"stripetail rockfish",2,6,NA,0,0,3,3
"treefish",34,0,NA,0,0,0,0
"vermilion and sunset rockfish",23,2,2021,0,0,0,2
"widow rockfish",30,1,2019,1,0,0,0
"yelloweye rockfish",34,0,2017,0,0,0,0
"yellowmouth rockfish",34,0,NA,0,0,0,0
"yellowtail rockfish",17,3,2017,1,0,0,2
