"Species","CW","C","O","W","Recreational_Importance_Modifier"
"arrowtooth flounder",0,0,0,0,0
"aurora rockfish",0,0,0,0,0
"bank rockfish",0.075,0.079,0,0,0
"big skate",0,0,0,0,0
"black rockfish",1,0.921,1,1,0
"blackgill rockfish",0,0,0,0,0
"blue and deacon rockfish",0.95,0.974,0.857,0.501,0
"bocaccio",0.799,0.843,0.286,0.571,0
"brown rockfish",0.775,0.816,0.142,0,0
"cabezon",0.724,0.658,0.761,0.643,0
"California scorpionfish",0.825,0.869,0,0,0
"canary rockfish",0.9,0.79,0.905,0.786,0
"chilipepper",0.425,0.421,0,0,0
"China rockfish",0.5,0.5,0.428,0.286,0
"copper rockfish",0.849,0.895,0.666,0.429,0
"cowcod",0.3,0.29,0,0,0
"curlfin sole",0,0,0,0,0
"darkblotched rockfish",0,0,0,0,0
"Dover sole",0,0,0,0,0
"English sole",0,0,0,0,0
"flag rockfish",0.45,0.474,0,0,0
"flathead sole",0,0,0,0,0
"gopher and black and yellow rockfish",0.75,0.737,0,0,0
"grass rockfish",0.25,0.21,0,0,0
"greenspotted rockfish",0.525,0.579,0,0,0
"greenstriped rockfish",0.175,0.184,0,0,0
"honeycomb rockfish",0.275,0.263,0,0,0
"kelp greenling",0.599,0.342,0.714,0.072,1
"kelp rockfish",0.325,0.316,0,0,0
"leopard shark",0,0,0,0,0
"lingcod",0.974,1,0.952,0.929,0
"longnose skate",0.025,0,0.095,0,0
"longspine thornyhead",0,0,0,0,0
"olive rockfish",0.7,0.71,0,0,0
"Pacific cod",0.2,0,0,0.214,0
"Pacific ocean perch",0,0,0,0,0
"Pacific sanddab",0.474,0.552,0.238,0,0
"Pacific spiny dogfish",0.15,0.158,0,0,0
"petrale sole",0.349,0.237,0.381,0,0
"quillback rockfish",0.65,0.606,0.619,0.357,0
"redbanded rockfish",0,0,0,0,0
"redstripe rockfish",0,0,0,0,0
"rex sole",0,0,0,0,0
"rock sole",0.125,0.131,0,0,0
"rosethorn rockfish",0,0,0,0,0
"rosy rockfish",0,0,0,0,0
"rougheye and black spotted rockfish",0,0,0,0,0
"sablefish",0.225,0.079,0.333,0,1
"sand sole",0.075,0.027,0.191,0,1
"sharpchin rockfish",0,0,0,0,0
"shortraker rockfish",0,0,0,0,0
"shortspine thornyhead",0,0,0,0,0
"silvergray rockfish",0,0,0,0,0
"speckled rockfish",0.4,0.395,0,0,0
"splitnose rockfish",0,0,0,0,0
"squarespot rockfish",0.625,0.631,0,0,0
"starry flounder",0.1,0.106,0.095,0,0
"starry rockfish",0.675,0.685,0,0,0
"stripetail rockfish",0,0,0,0,0
"treefish",0.4,0.395,0,0,0
"vermilion and sunset rockfish",0.924,0.948,0.571,0.143,0
"widow rockfish",0.55,0.527,0.476,0,0
"yelloweye rockfish",0.575,0.448,0.524,0.715,1
"yellowmouth rockfish",0,0,0,0,0
"yellowtail rockfish",0.875,0.764,0.809,0.857,0
