"Species","Rank","Factor_Score","Tribal_Score","Assessed_Last_Cycle","Revenue","CA_Revenue","OR_Revenue","WA_Revenue","Assess_Last_Cycle"
"Arrowtooth flounder",24,2.67652051411378,0,0,73.5,0,0,73.5,0
"Aurora rockfish",21,1.84834859899641,0,0,18.6,0,0,18.6,0
"Bank rockfish",25,2.71747184508804,0,0,78.6,0,0,78.6,0
"Big skate",37,5.79704921194525,2,0,1534.7,0,0,1534.7,0
"Black rockfish",28,4.17932877487454,2,0,112.4,0,0,112.4,0
"Blackgill rockfish",23,2.59212303196502,0,0,64,0,0,64,0
"Blue/Deacon rockfish",13,1.24177463911609,2,0,0,0,0,0,0
"Bocaccio",33,4.7266565056,0,0,2022.8,0,0,2022.8,0
"Cabezon",13,1.24177463911609,2,0,0,0,0,0,0
"California scorpionfish",2,0,0,0,0,0,0,0,0
"Canary rockfish",45,7.71364576929191,3,0,12375.9,0,0,12375.9,0
"Chilipepper",1,-0.355959502414827,0,0,3.2,0,0,3.2,-2
"China rockfish",13,1.24177463911609,2,0,0,0,0,0,0
"Copper rockfish",13,1.24177463911609,2,0,0,0,0,0,0
"Cowcod",2,0,0,0,0,0,0,0,0
"Darkblotched rockfish",36,5.03952883232616,2,0,452.3,0,0,452.3,0
"Dover sole",43,7.39263015626345,1.5,0,33074.8,0,0,33074.8,0
"English sole",12,1.22315027288201,1.5,0,0.6,0,0,0.6,0
"Flathead sole",2,0,0,0,0,0,0,0,0
"Greenspotted rockfish",18,1.57714334755951,0,0,11.7,0,0,11.7,0
"Greenstriped rockfish",29,4.52711781924674,0,0,1466.6,0,0,1466.6,0
"Kelp greenling",20,1.63084335659778,2,0,0.9,0,0,0.9,0
"Lingcod",47,8.99316934260622,2,0,264178,0,0,264178,0
"Longnose skate",39,6.85786205835242,2,0,8477.3,0,0,8477.3,0
"Longspine thornyhead",35,4.98776375601328,0,0,3080.8,0,0,3080.8,0
"Pacific cod",48,9.18291153467865,3,0,131922.9,0,0,131922.9,0
"Pacific ocean perch",32,4.64846838140373,2,0,240.5,0,0,240.5,0
"Pacific sanddab",11,0.931330979337068,1.5,0,0,0,0,0,0
"Pacific spiny dogfish",2,0,0,0,0,0,0,0,0
"Petrale sole",50,10,2,0,1337056.7,0,0,1337056.7,0
"Quillback rockfish",31,4.55807323036602,2,0,207.8,0,0,207.8,0
"Redbanded rockfish",44,7.45470387124563,2,0,22169.8,0,0,22169.8,0
"Redstripe rockfish",19,1.61785065205304,0,0,12.5,0,0,12.5,0
"Rex sole",40,6.92884504419788,2,0,9504.1,0,0,9504.1,0
"Rosethorn rockfish",26,3.44805283429147,0,0,257.1,0,0,257.1,0
"Rougheye/Blackspotted rockfish",34,4.91242798663764,3,0,1003.2,0,0,1003.2,-2
"Sablefish",49,9.77253178403605,2,0,6849059.9,0,0,6849059.9,-2
"Sharpchin rockfish",10,0.351842263389898,0,0,0.8,0,0,0.8,0
"Shortraker rockfish",42,7.16817309712982,3,0,5140.2,0,0,5140.2,0
"Shortspine thornyhead",46,7.73034378926273,2,0,34559.9,0,0,34559.9,0
"Silvergray rockfish",27,3.72817488106013,0,0,404.3,0,0,404.3,0
"Splitnose rockfish",17,1.41458194602726,0,0,8.8,0,0,8.8,0
"Squarespot rockfish",2,0,0,0,0,0,0,0,0
"Starry rockfish",2,0,0,0,0,0,0,0,0
"Stripetail rockfish",9,0.00420774360369002,0,0,0,0,0,0,0
"Vermilion/Sunset rockfish",2,0,0,0,0,0,0,0,0
"Widow rockfish",30,4.53106236105999,2,0,1475.9,0,0,1475.9,-2
"Yelloweye rockfish",38,6.50350999214463,3,0,13022.9,0,0,13022.9,-2
"Yellowmouth rockfish",22,2.17132091031866,0,0,32,0,0,32,0
"Yellowtail rockfish",41,7.07637440686455,2,0,89070.6,0,0,89070.6,-2
