"Species","Rank","Factor Score","Assessed Last Cycle","Pseudo Revenue Coastwide","Pseudo Revenue CA","Pseudo Revenue OR","Pseudo Revenue WA","Species Importance CA","Species Importance OR","Species Importance WA","Catch Coastwide","Catch CA","Catch OR","Catch WA","Management Group"
"Lingcod",1,10,0,4599.4,1934.1,1407.3,1258,2,2,2,2299.7,967.1,703.6,629,"species specific"
"Black rockfish",2,9.84978942271576,0,4052,0,2787.9,1264.1,0,2,2,2623.8,597.8,1393.9,632.1,"species specific"
"Vermilion/Sunset rockfish",3,8.88905523650466,0,1801.5,1769.7,28.6,3.2,1.9,1.15,1,959.5,931.4,24.8,3.2,"minor shelf rockfish"
"Canary rockfish",4,8.29610587937551,0,1092.2,478.1,404.8,209.3,1.9,1.9,2,569.3,251.6,213,104.7,"species specific"
"Bocaccio",5,8.08304448204907,0,912.4,879.5,3.3,29.6,1.86,0.6,1.3,501.1,472.9,5.4,22.8,"species specific"
"California scorpionfish",6,7.87453018452649,0,765.1,765.1,0,0,1.75,0,0,437.2,437.2,0,0,"species specific"
"Blue/Deacon rockfish",7,7.05538202480577,0,382.9,0,370,12.9,0,1.9,1.8,1021.4,819.5,194.7,7.2,"minor nearshore rockfish"
"Greenspotted rockfish",8,6.19362225838974,0,184.6,184.6,0,0,1.37,0,0,136.6,134.7,1.8,0,"minor shelf rockfish"
"Yellowtail rockfish",9,6.08124270448738,-2,1246.4,395,301.5,549.9,1.15,1.5,2,819.4,343.4,201,275,"species specific"
"Starry rockfish",10,5.87633680762678,0,141,141,0,0,1.1,0,0,128.2,128.2,0,0,"minor shelf rockfish"
"Chilipepper",11,5.40591401176752,-2,704.8,704.8,0,0,1.86,0,0,379.4,378.9,0.5,0,"species specific"
"Pacific sanddab",12,5.1546003242405,0,76.3,75.7,0.6,0,0.82,0.5,0.75,93.5,92.3,1.2,0,"other flatfish"
"Kelp greenling",13,5.117600816935,0,73.9,0,70.6,3.3,0,0.8,0.75,106.6,13.9,88.3,4.4,"other groundfish"
