Species,Average Catches,Projected ACL Attainment,Choke Stock Score,sum future acl,Commercial Importance Modifier,Recreational Importance Modifier,Factor Score,Rank,Management Group
Greenstriped rockfish,54.8,0.01,0,10919.2674,3,0,10,1,minor shelf rockfish
Pacific cod,47,0,0,10919.2674,2,1,10,1,species specific
Rosethorn rockfish,6.3,0,0,10919.2674,3,0,10,1,minor shelf rockfish
Rougheye/Blackspotted rockfish,107.8,0.01,0,10919.2674,3,0,10,1,minor slope rockfish
Arrowtooth flounder,866.8,0.08,0,10919.2674,2,0,6.666666666666667,5,species specific
Aurora rockfish,24.5,0,0,10919.2674,2,0,6.666666666666667,5,minor slope rockfish
Bank rockfish,42,0,0,10919.2674,2,0,6.666666666666667,5,minor slope rockfish
Big skate,152.9,0.01,0,10919.2674,2,0,6.666666666666667,5,species specific
China rockfish,12.7,0,0,10919.2674,0,2,6.666666666666667,5,minor nearshore rockfish
Copper rockfish,17.3,0,0,10919.2674,1,1,6.666666666666667,5,minor nearshore rockfish
English sole,236.1,0.02,0,10919.2674,2,0,6.666666666666667,5,species specific
Longspine thornyhead,86.9,0.01,0,10919.2674,2,0,6.666666666666667,5,species specific
Pacific sanddab,110,0.01,0,10919.2674,2,0,6.666666666666667,5,other flatfish
Pacific spiny dogfish,446.2,0.04,0,10919.2674,2,0,6.666666666666667,5,species specific
Quillback rockfish,14.5,0,0,10919.2674,1,1,6.666666666666667,5,minor nearshore rockfish
Redstripe rockfish,43.4,0,0,10919.2674,2,0,6.666666666666667,5,minor shelf rockfish
Sablefish,5683.9,0.52,0,10919.2674,1,1,6.666666666666667,5,species specific
Sharpchin rockfish,41.3,0,0,10919.2674,2,0,6.666666666666667,5,minor slope rockfish
Shortraker rockfish,6.2,0,0,10919.2674,2,0,6.666666666666667,5,minor slope rockfish
Silvergray rockfish,51.3,0,0,10919.2674,2,0,6.666666666666667,5,minor shelf rockfish
Splitnose rockfish,206.7,0.02,0,10919.2674,2,0,6.666666666666667,5,minor slope rockfish
Stripetail rockfish,65.2,0.01,0,10919.2674,2,0,6.666666666666667,5,minor shelf rockfish
Yellowmouth rockfish,23.8,0,0,10919.2674,2,0,6.666666666666667,5,minor slope rockfish
Blue/Deacon rockfish,56.1,0.01,0,10919.2674,0,1,3.3333333333333335,24,minor nearshore rockfish
Bocaccio,665.3,0.06,0,10919.2674,1,0,3.3333333333333335,24,species specific
Cabezon,6.7,0,0,10919.2674,0,1,3.3333333333333335,24,other groundfish
California scorpionfish,123.3,0.01,0,10919.2674,1,0,3.3333333333333335,24,species specific
Canary rockfish,613.3,0.06,0,10919.2674,1,0,3.3333333333333335,24,species specific
Chilipepper,993.4,0.09,0,10919.2674,1,0,3.3333333333333335,24,species specific
Cowcod,10.6,0,0,10919.2674,1,0,3.3333333333333335,24,minor shelf rockfish
Darkblotched rockfish,335.1,0.03,0,10919.2674,1,0,3.3333333333333335,24,species specific
Flathead sole,15.9,0,0,10919.2674,1,0,3.3333333333333335,24,other flatfish
Greenspotted rockfish,48.4,0,0,10919.2674,1,0,3.3333333333333335,24,minor shelf rockfish
Kelp greenling,42.2,0,0,10919.2674,0,1,3.3333333333333335,24,other groundfish
Lingcod,1245.1,0.11,0,10919.2674,1,0,3.3333333333333335,24,species specific
Longnose skate,596.6,0.05,0,10919.2674,1,0,3.3333333333333335,24,species specific
Redbanded rockfish,40.6,0,0,10919.2674,1,0,3.3333333333333335,24,minor slope rockfish
Squarespot rockfish,6.7,0,0,10919.2674,1,0,3.3333333333333335,24,minor shelf rockfish
Starry rockfish,32.8,0,0,10919.2674,1,0,3.3333333333333335,24,minor shelf rockfish
Yelloweye rockfish,27.6,0,0,10919.2674,1,0,3.3333333333333335,24,species specific
Yellowtail rockfish,3271.6,0.3,0,10919.2674,1,0,3.3333333333333335,24,species specific
Black rockfish,594.6,0.05,0,10919.2674,0,0,0,42,species specific
Blackgill rockfish,48.9,0,0,10919.2674,0,0,0,42,minor slope rockfish
Dover sole,4119,0.38,0,10919.2674,0,0,0,42,species specific
Pacific ocean perch,412,0.04,0,10919.2674,0,0,0,42,species specific
Petrale sole,2785.2,0.26,0,10919.2674,0,0,0,42,species specific
Rex sole,349.7,0.03,0,10919.2674,0,0,0,42,other flatfish
Shortspine thornyhead,541.2,0.05,0,10919.2674,0,0,0,42,species specific
Vermilion/Sunset rockfish,318.7,0.03,0,10919.2674,0,0,0,42,minor shelf rockfish
Widow rockfish,10444.6,0.96,0,10919.2674,0,0,0,42,species specific
