"SpeciesArea","Species","AssessYear","Mean_Catch_Age","M","Max_Age","h","SigmaR","SB0","SBfinal","SBfinal_5","Status","Status_5","WeightedStatus","WeightedStatus_5","WeightedMeanCatchAge","MeanMaxAge","Mean_SigmaR"
"big_skate.cw","big_skate",2019,4.3,0.449208,12,0.4,0,2524.54,1999.35,1968.99,0.791966061143812,0.779940107900845,0.791966061143812,0.779940107900845,4.3,12,0
"black_rockfish.nca","black_rockfish",2023,7.3,0.21026,26,0.72,0.6,1126.05,410.223,393.277,0.364302650859198,0.349253585542383,0.423952437417587,0.367414976529182,8.10604171726986,28,0.6
"black_rockfish.or","black_rockfish",2023,8.7,0.19,28,0.72,0.6,1490.34,674.102,654.851,0.45231423701974,0.439397050337507,0.423952437417587,0.367414976529182,8.10604171726986,28,0.6
"black_rockfish.sca","black_rockfish",2023,4.8,0.21026,26,0.72,0.6,324.133,136.324,93.047,0.420580440745003,0.287064260658433,0.423952437417587,0.367414976529182,8.10604171726986,28,0.6
"black_rockfish.wa","black_rockfish",2023,9,0.17,32,0.72,0.6,943.875,426.151,286.011,0.45149092835386,0.303017878426698,0.423952437417587,0.367414976529182,8.10604171726986,28,0.6
"blue_rockfish.ca","blue_rockfish",2017,9.1,0.119257,45,0.644599,0.5,2177.68,812.487,459.196,0.373097516623195,0.210864773520444,0.424731869083036,0.302475900896498,9.28669640189855,39.5,0.5
"blue_rockfish.or","blue_rockfish",2017,9.8,0.1588,34,0.718,0.5,431.027,295.514,329.875,0.685604382092073,0.765323286012245,0.424731869083036,0.302475900896498,9.28669640189855,39.5,0.5
"cabazon.nca","cabazon",2019,6.5,0.238559,23,0.7,0.5,986.41,642.623,523.58,0.651476566539269,0.530793483439949,0.624029172271229,0.510789810863867,6.26990991839508,22,0.6
"cabazon.sca","cabazon",2019,4.8,0.260091,21,0.7,0.7,204.584,100.592,84.7676,0.491690454776522,0.414341297462167,0.624029172271229,0.510789810863867,6.26990991839508,22,0.6
"cabezon.or","cabezon",2019,4.7,0.24,23,0.7,0.5,335.008,177.031,147.251,0.528438126850702,0.439544727290095,0.528438126850702,0.439544727290095,4.7,23,0.5
